NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Study Type,Study Documents
NCT03283826,Phase 1/2 Study to Evaluate the Safety and Efficacy of ATA188 in Subjects With Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03283826,TERMINATED,"The purpose of this study is to evaluate the safety and tolerability of ATA188 as a monotherapy in Parts 1 and 2, to determine the recommended Part 2 dose (RP2D) of ATA188 as monotherapy in Part 1, and to evaluate the effect of ATA188 treatment on clinical disability, as assessed by confirmed Expanded Disability Status Scale (EDSS) improvement at 12 months in Part 2 in participants with progressive forms of multiple sclerosis (MS) (primary progressive multiple sclerosis \[PPMS\] and secondary progressive multiple sclerosis \[SPMS\]).",NO,Primary Progressive Multiple Sclerosis|Secondary Progressive Multiple Sclerosis,BIOLOGICAL: ATA188|DRUG: Placebo,"Part 1: Incidence of adverse events, At 12 months after the first dose of study drug|Part 1: Incidence of clinically significant changes in laboratory tests, electrocardiograms (ECGs), and vital signs, At 12 months after the first dose of study drug|Part 1: Recommended Part 2 dose of ATA188 monotherapy, Day 1 to Day 35 of Cycle 1 for each participant in dose escalation part (approximately 1 year)|Part 2: Percentage of participants with confirmed expanded disability status scale (EDSS) improvement at 12 months, At 12 months after the first dose of study drug",Atara Biotherapeutics,,INTERVENTIONAL,
NCT02016222,Tear Analysis in the Diagnosis of Multiple Sclerosis,https://clinicaltrials.gov/study/NCT02016222,COMPLETED,"In the primary progressive multiple sclerosis, the detection of oligoclonal bands in cerebrospinal fluid is critical for the diagnosis. However, lumbar puncture for cerebrospinal fluid collection is considered relatively invasive. Our hypothesis is that oligoclonal bands detection in tears is possible and useful for the diagnosis of multiple sclerosis.",NO,Primary Progressive Multiple Sclerosis,PROCEDURE: tears sampling,"Concordance between the quantification of oligoclonal IgG bands by isoelectric focusing in tears and in the cerebrospinal fluid in patients with primary progressive multiple sclerosis, at baseline and two years after (+/- 2 months)",Lille Catholic University,Bayer,INTERVENTIONAL,
NCT00950248,Clinical Trial of Idebenone in Primary Progressive Multiple Sclerosis (IPPoMS),https://clinicaltrials.gov/study/NCT00950248,COMPLETED,"Background:

* Multiple sclerosis (MS) is an inflammatory disorder of the central nervous system that progressively weakens and destroys the pathways of the nervous system. About 10 percent to 15 percent of patients develop primary-progressive MS (PP-MS), characterized by progressive accumulation of disability from the disease onset, without any marked improvements or relapses. There are currently no effective treatments for PP-MS.
* Idebenone is a manmade drug that is similar to a naturally occurring compound known as coenzyme Q10, a common dietary supplement. Research data suggest that idebenone may be able to limit demyelination and death of brain cells and thereby slow or halt the progression of neurological dysfunction such as that occurring in MS.

Objectives:

\- To evaluate the safety and effectiveness of using idebenone to treat primary progressive MS.

Eligibility:

\- Individuals between 18 and 65 years of age who have been diagnosed with primary progressive multiple sclerosis.

Design:

* The study will last 3 years and will be divided into two parts: a 1-year pretreatment baseline and 2 years of treatment with either idebenone or a placebo.
* Pre-treatment study: approximately 5 clinic visits over 1 year.
* Visit 1: Comprehensive medical history and neurological examination, with brain scans and neurological tests.
* Visit 2: Magnetic resonance imaging (MRI) scan of the spine and lymphocytapheresis (withdrawal of white blood cells for testing).
* Visit 3: Lumbar puncture.
* Visit 4: Skin biopsy.
* Visit 5: Repeat MRI of the brain and spinal cord, as well as neurological tests; these tests will be scheduled over 2 days.
* After the five pretreatment visits, patients will receive a 6-month supply of study medication (either idebenone or a placebo) to take three times a day with food
* Patients will continue to have regular followup clinic visits with brain MRI scans, blood tests, and other evaluations of brain and nervous system function. Randomly selected participants will have additional MRI scans for further safety precautions.",YES,Primary Progressive Multiple Sclerosis,DRUG: Idebenone|OTHER: placebo,"Change in the Area Under the Curve (AUC) of the Combinatorial Weight-Adjusted Disability Score (CombiWISE) From Baseline to Treatment Phase, The AUCs of the CombiWISE scores during the 2-year treatment period was analyzed using an Analysis of Covariance (ANCOVA) model with the AUC of the pre-treatment CombiWISE scores, Baseline (Month 0) CombiWISE score and Baseline age as covariates.

CombiWISE is a composite scale derived from Expanded Disability Status Scale (EDSS) , Scripps Neurological Disability Scale (SNRS), times 25 foot walk (25FW), and non-dominant hand of 9 hole peg test (9HPT) with a minimum value of 0 (no disability) and maximum value of 100 (maximum disability).

The AUC values were calculated for both the pre-treatment baseline phase (from Months -12, -6, and 0) and for the double-blind phase (from Months 0, 6, 12, 18, and 24).

Because the follow-up times varied from patient to patient, the AUC values were made comparable by scaling them by dividing the AUC value by the square of the actual duration (in years) of each of the phases., 1-year pre-treatment baseline vs 2-year treatment period",National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/48/NCT00950248/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/48/NCT00950248/SAP_001.pdf"
NCT02913157,Hydroxychloroquine in Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT02913157,COMPLETED,The purpose of this clinical trial is to determine if HCQ in a dose of 400mg daily can prevent worsening of walking ability in people PPMS. The number of participants in this study will be 35. A maximum of 42 people with PPMS will be included. The trial is funded through a private donation to the Hotchkiss Brain Institute MS Translational Clinical Trials Research Program and the University of Calgary. There is no sponsorship from the pharmaceutical industry.,NO,"Multiple Sclerosis, Primary Progressive",DRUG: Hydroxychloroquine,"Timed 25-Foot Walk (T25FW), quantitative ambulation performance test, Change in Timed 25-Foot Walk performance between the 6 month and 18 month visit.",University of Calgary,,INTERVENTIONAL,
NCT01077466,Natalizumab Treatment of Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT01077466,COMPLETED,"The purpose of this study is to study safety and efficacy of natalizumab treatment of primary and secondary progressive multiple sclerosis.

This will be done by measuring the effect of treatment on inflammation in the CNS by means of osteopontin levels in the cerebrospinal fluid (CSF). Safety measures further includes physical and neurological examination,blood samples and MRI measures of disease activity.",NO,Primary Progressive Multiple Sclerosis|Secondary Progressive Multiple Sclerosis,DRUG: Natalizumab,"Cerebrospinal fluid (CSF) osteopontin, The primary endpoint is change in CSF osteopontin from baseline to week 60., Change from baseline to week 60","Rigshospitalet, Denmark","Copenhagen University Hospital, Hvidovre|Biogen|University of Copenhagen|Signifikans ApS",INTERVENTIONAL,
NCT05974852,Effect of Ocrelizumab on Choroid Plexus Changes in Patients With PPMS,https://clinicaltrials.gov/study/NCT05974852,COMPLETED,"The goal of this non-interventional, observational study is to learn if cortical plexus enhancement in patients with primary progressive multiple sclerosis occurs in response to the autoimmune inflammatory process.",NO,Primary Progressive Multiple Sclerosis,OTHER: Ocrelizumab,"T2 lesion volume, T2 lesion volume as measured using MRI., 5 years",State University of New York at Buffalo,"Genentech, Inc.",OBSERVATIONAL,
NCT05974839,Effect of Ocrelizumab on Cortical Lesion Accumulation in Patients With PPMS (ORATORIO-Cortical),https://clinicaltrials.gov/study/NCT05974839,COMPLETED,"The goal of this non-interventional, observational study is to determine whether cortical pathology can be slowed down by use of ocrelizumab.",NO,Primary Progressive Multiple Sclerosis,OTHER: Ocrelizumab,"Cortical lesion number accumulation, Cortical lesion accumulation as measured using MRI between subjects on placebo and subjects who took ocrelizumab., 5 years",State University of New York at Buffalo,"Genentech, Inc.",OBSERVATIONAL,
NCT02284568,"A Phase 2 Clinical Study in Subjects With Primary Progressive Multiple Sclerosis to Assess the Efficacy, Safety and Tolerability of Two Oral Doses of Laquinimod Either of 0.6 mg/Day or 1.5mg/Day (Experimental Drug) as Compared to Placebo",https://clinicaltrials.gov/study/NCT02284568,COMPLETED,This Phase 2 study is intended to serve as a proof of concept for potential treatment with laquinimod in patients with PPMS. The study is also aimed at evaluating 2 doses of laquinimod in this population.,YES,Primary Progressive Multiple Sclerosis,DRUG: Placebo|DRUG: Laquinimod|DRUG: Placebo,"Percent Brain Volume Change (PBVC) From Baseline to Week 48 Using a Repeated Measures ANCOVA Model, Brain atrophy (BA) was measured using magnetic resonance imaging (MRI) scans of the brain. BA was analyzed using baseline-adjusted repeated measures analysis of covariance (ANCOVA- SAS® PROC MIXED) in which 1 contrast was constructed in order to compare between laquinimod 0.6 mg and placebo. The statistical model was a repeated measures analysis of covariance with treatment group, week, treatment group by week interaction, normalized brain volume at baseline, natural logarithm of T2 lesion volume at baseline, and country as fixed effects. Only on-treatment observations (include all the assessments done up to one month after the last dose of the study drug) were included. Values are adjusted means. The cancelled laquinimod 1.5 mg treatment arm was not included in the repeated measures ANCOVA model analysis. However PBVC by visit data are offered in outcome #2., Baseline (at least 14 days but not more than 6 weeks prior to Day 1), Weeks 24, 48 and including early termination visits|Percent Brain Volume Change (PBVC) From Baseline to Weeks 24 and 48, Brain atrophy (BA) was measured using magnetic resonance imaging (MRI) scans of the brain. Early termination scans of participants who discontinued the study after week 36 are considered scans at week 48., Baseline (at least 14 days but not more than 6 weeks prior to Day 1), Weeks 24, 48","Teva Branded Pharmaceutical Products R&D, Inc.",,INTERVENTIONAL,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/68/NCT02284568/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/68/NCT02284568/SAP_001.pdf"
NCT04035005,A Study to Evaluate the Efficacy and Safety of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04035005,ACTIVE_NOT_RECRUITING,"This study will evaluate the efficacy and safety of ocrelizumab (Ocrevus®) compared with placebo in participants with primary progressive multiple sclerosis (PPMS), including participants later in their disease course. This study will consist of the following phases: screening, double-blind treatment, an optional post-double-progression ocrelizumab (PDP OCR) treatment, follow-up 1 (FU1), an optional open-label extension (OLE), and follow-up 2 (FU2).",YES,"Multiple Sclerosis, Primary Progressive",DRUG: Ocrelizumab|DRUG: Placebo,"Time to Onset of 12-week Composite Confirmed Disability Progression (cCDP12) in FAS, Time to onset of cCDP12=time from randomization to the first occurrence of at least one of the following progression events: 1) 20% worsening from baseline in 9-hole Peg Test (9-HPT) confirmed for at least 12 weeks; 2) increase of ≥ 1.0 point from baseline in Expanded Disability Status Scale (EDSS) score in participants with a baseline EDSS score ≤5.5 or an increase of ≥ 0.5 point in participants with a baseline EDSS score of \>5.5 that is confirmed for at least 12 weeks. EDSS disability scale is based on a standard neurological examination, incorporating functional systems \& ambulation, that ranges in 0.5-point steps from 0 \[normal\] to 10.0 \[death\]. 9-HPT is a quantitative measure of arm \& hand function, where participants placed \& removed pegs 1 by 1 into 9 holes arranged in a board \& complete 2 successful trials for each hand \& the total time (in seconds) required was recorded. The longer it took to complete the test, the higher the scores, indicating deterioration., Up to approximately 243 weeks|Time to Onset of cCDP12 in Magnetic Resonance Imaging (MRI) Activity Analysis Set, Time to onset of cCDP12 was defined as the time from randomization to the first occurrence of at least one of the following progression events: 1) 20% worsening from baseline in 9-HPT confirmed for at least 12 weeks; 2) increase of ≥ 1.0 point from baseline in EDSS score in participants with a baseline EDSS score ≤5.5 or an increase of ≥ 0.5 point in participants with a baseline EDSS score of \>5.5 that is confirmed for at least 12 weeks. EDSS disability scale is based on a standard neurological examination, incorporating functional systems \& ambulation, that ranges in 0.5-point steps from 0 \[normal\] to 10.0 \[death\]. 9-HPT is a quantitative measure of arm \& hand function, where participants placed \& removed pegs 1 by 1 into 9 holes arranged in a board \& complete 2 successful trials for each hand \& the total time (in seconds) required was recorded. The longer it took to complete the test, the higher the scores, indicating deterioration., Up to approximately 243 weeks",Hoffmann-La Roche,,INTERVENTIONAL,"Study Protocol, https://cdn.clinicaltrials.gov/large-docs/05/NCT04035005/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/05/NCT04035005/SAP_001.pdf"
NCT04544449,A Study to Evaluate the Efficacy and Safety of Fenebrutinib Compared With Ocrelizumab in Adult Participants With Primary Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04544449,ACTIVE_NOT_RECRUITING,A study to evaluate the efficacy and safety of fenebrutinib on disability progression in adult participants with Primary Progressive Multiple Sclerosis (PPMS). All eligible participants will be randomized 1:1 to either daily oral fenebrutinib (and placebo) or intravenous (IV) ocrelizumab (and placebo) in a blinded fashion through an interactive voice or web-based response system (IxRS). 985 participants were enrolled and recruited globally. Participants who discontinue study medication early or discontinue from the study will not be replaced. The Open-Label Extension (OLE) phase is contingent on a positive benefit-risk result in the Primary Analysis of the study.,NO,"Multiple Sclerosis, Primary Progressive",DRUG: Fenebrutinib|DRUG: Ocrelizumab|DRUG: Placebo matched to ocrelizumab|DRUG: Placebo matched to fenebrutinib,"Time to Onset of Composite 12-week Confirmed Disability Progression (cCDP12), Minimum of 120 weeks",Hoffmann-La Roche,,INTERVENTIONAL,
